name,story_count,types
Theo,87,otter; crow; fox; gardener; geologist; helper; mouse; builder; tortoise; badger; cat; hedgehog; mole; seal; wizard; appraiser; doctor; dog; illusionist; keeper; mapmaker; marten; pilot; raccoon; robin; stoat; student; turtle
Pip,78,rabbit; duck; otter; fox; rook; dog; ferret; goblin; mouse; penguin; pony; sprite; wizard; badger; bear; cat; dragon; opossum; owl; puffin; puffling; robin; sparrow; squirrel; stoat; wren
Moss,76,badger; hedgehog; squirrel; goat; elf; goblin; mouse; beetle; ferret; mole; ogre; sheep; dog; dragon; fox; giant; hare; instructor; otter; rabbit; sprite; stoat; toad; turtle; wombat; yak
Milo,61,mole; wizard; donkey; problem-solver; squirrel; statistician; hedgehog; mouse; rabbit; bell-ringer; cat; dog; engineer; hart; hunter; marmot; mechanic; merboy; tinker
Bram,60,mole; badger; weasel; wizard; monkey; ogre; hedgehog; rabbit; rat; bear; beaver; beekeeper; beetle; bison; broom-maker; cat; crow; diver; dog; dragon; duck; fox; gnome; goat; goblin; goose; hare; mechanic; raccoon; rook; sheep; stoat; storyteller; tortoise
Fern,58,hedgehog; deer; fox; hamster; elf; frog; witch; mouse; charmsmith; farmer; ferret; goat; goose; horse; lark; robot; seal; squirrel
Maple,57,bear; hare; squirrel; cat; owl; fox; marmot; rabbit; beaver; cow; deer; elf; giant; heron; mole; moose; mouse; ogre; otter; pig; raccoon; sheep; stoat; tailor
Tansy,53,squirrel; rabbit; ferret; cat; witch; bear; fox; crow; fairy; goat; goblin; hare; hedgehog; meerkat; moth; opossum; otter; sprite; stoat; swallow; tabby; tiger; tortoise
Mina,52,fox; badger; coder; mouse; reader; lynx; squirrel; tortoise; baker; beekeeper; cat; consultant; doctor; goat; hedgehog; koala; magician; magpie; mole; monkey; otter; ringer; sparrow; stenographer; watchmaker
Nell,52,fox; rabbit; otter; tortoise; cat; ferret; weasel; witch; bear; beekeeper; crow; giraffe; goat; guide; hamster; hedgehog; intern; keeper; mouse; newt; nightjar; owl; pamphleteer; skater; swimmer; trapper
Poppy,52,goose; pony; mouse; squirrel; witch; rabbit; pig; cat; dog; falconer; ferret; hedgehog; mogul; otter; panda; parrot; pickpocket; postmaster; puffin; raccoon; robin; trainspotter
Pebble,51,tortoise; dog; crab; troll; mouse; penguin; seal; duck; gargoyle; giant; goblin; newt; ogre; pony; rat; robot; turtle
Iris,50,rabbit; deer; finder; scout; solver; magpie; cat; fox; raven; beaver; cartographer; champion; chaser; duck; elf; falconer; gladiator; iguana; inkmaker; octopus; robin; robot; witch
Hazel,49,squirrel; hare; hedgehog; helper; witch; owl; crow; stoat; fairy; measurer; mole; mouse; rabbit; weasel
Bramble,48,witch; badger; hedgehog; otter; rook; seal; rabbit; pony; beagle; crow; goblin; hare; mole; ogre; squirrel; tortoise
Rafi,47,crow; asker; experimenter; pilot; technician; raccoon; archivist; beaver; otter; apple-picker; apprentice; camel; diver; fox; reporter; seal; sheep
Rowan,46,rook; witch; wizard; mechanic; crow; ferret; owl; beetle; bell-boat; champion; deer; fox; gardener; goose; hedgehog; miller; puffin; rabbit; sailor; squirrel; starling; surveyor; weasel; wolf
Otis,45,otter; wizard; owl; beaver; badger; bell-ringer; dog; duck; ferret; ferry; giraffe; hedgehog; lizard; maker; osprey; rabbit; rat; tortoise; trapper
Juniper,44,witch; deer; squirrel; fox; jackdaw; jackrabbit; jam-maker; jay; pony; robin; seal; sprite; stoat
Yara,41,mole; yak; otter; beekeeper; courier; dancer; ecologist; giant; merchant; runner; skater; swan
Wren,40,stoat; robin; wolf; elf; rabbit; alchemist; apothecary; cleaner; ferret; hedgehog; mole; mouse; sheep; toad
Basil,39,wizard; badger; fox; bat; bear; rabbit; beagle; beaver; bullfrog; dragon; mouse; smug; socialist; stoat
Clover,39,rabbit; calf; cow; witch; cat; goat; hedgehog; pony; dog; fairy; fox; llama; robin; sheep; sheepdog; sprite
Kit,39,badger; ferret; mouse; otter; racer; apprentice; beaver; cat; fox; guide; gull; hedgehog; mechanic; mercer; messenger; owl; rabbit; sparrow; squirrel; stoat; streamer; volunteer; wizard
Noah,39,stoat; helper; maker; note-taker; tester; crow; owl; weasel; baker; ferret; swordsman
Felix,37,ferret; wolf; badger; wizard; crow; mole; stoat; weasel; apprentice; dealer; fox; heron; magician; orr; problem; terrier
Mira,36,witch; engineer; fox; gull; archivist; badger; brewer; collector; goat; hedgehog; lockbreaker; marten; mirror-physicist; salvage; sprite; surgeon
Nora,36,competitor; fox; hare; koala; narwhal; rabbit; schoolgirl; bat; bear; casino; deer; drummer; intern; mouse; otter; robin; sheep
Priya,36,explorer; lynx; magpie; puzzle-solver; reader; apprentice; codebreaker; duck; engineer; guide; navigator; officer; paramedic; sen; taker; telegrapher
Bea,35,goat; beaver; baker; badger; engineer; intern; nkomo; runner; tinker; watcher
Mabel,35,fox; marmot; owl; mouse; rabbit; mole; witch; badger; clerk; goat; mermaid; monkey; mule; otter; pig
Sana,35,cat; coder; designer; gazer; wolf; broker; cartographer; courier; falconer; fisher; fox; herbalist; idri; skateboarder; student
Tobin,35,wizard; mole; otter; badger; goat; hedgehog; bell-ringer; broom-racing; conservator; gardener; librarian; lynx; toad
Benji,32,bear; fox; gardener; maker; rabbit; helper; apprentice; beaver; champion; electrician; vlogger
Lina,32,fox; inventor; code-maker; engineer; elf; forger; hacker; hand; keeper; leopard; otter; physicist; thief-catcher
Cora,31,jackdaw; deer; squirrel; rabbit; beetle; cockatiel; duck; ghost; guide; hedgehog; keeper; miller; otter
Esme,31,explorer; gazer; scientist; watcher; cat; sheep; elephant; mouse; navigator; pilot; repairer
Arlo,30,builder; goat; inventor; fox; alpaca; cat; wizard; mole; otter; rabbit; raven; snail
Elsie,30,rabbit; elephant; witch; clock; elf; hare; parrot
Ivy,30,hedgehog; deer; witch; beaver; squirrel; ghost; giraffe; iguana; koala; lizard; monkey; mouse; otter; rabbit; seal; volunteer; wren
Lark,30,tester; witch; sheep; lemur; botanist; carrier; clone; crow; diver; fox; goat; inventor; kingfisher; llama; ogre; sailmaker; spider
Asha,29,alpaca; crow; helper; scientist; painter; mapmaker; miro; otter; runner; teacher; truck; witch
Ivo,29,mechanic; tinkerer; wizard; elf; iguana; apprentice; beekeeper; cartographer; engineer; fox; hare; keane; locksmith; pilot; sheepdog
Bracken,28,rabbit; dog; ogre; badger; dragon; fox; giant; heron; messenger; mole; pony
Flint,28,terrier; fox; falcon; ogre; stoat; troll; dragonfly; ferret; firefly; griffin; kestrel
Jonah,28,beaver; engineer; ferret; marten; mole; seal; stoat; archivist; fox; jellyfish; manager; pike
Jun,28,hedgehog; mole; courier; dog; badger; carpenter; cat; coder; crow; diver; fox; goat; messenger; park; rabbit; rat; runner; thief; tortoise; weasel
Pipkin,28,mouse; hamster; pig; sheep; ferret; fox; goblin; hare; hedgehog; phoenix; porcupine; snail; squirrel; stoat; sugar-glider
Tumble,27,goat; tortoise; bear; fairy; goblin; monster; raccoon; robot; sheep
Finn,26,badger; stoat; wizard; runner; ferret; fox; frog; keeper; otter; sandpiper; scout; sheep; sheepdog; stairkeeper
Nia,26,explorer; gardener; lover; diver; gull; lizard; nightjar; rabbit; raccoon; racer; ranger; sheep; sorter; squirrel
Wisp,26,cat; ferret; ghost; hare; sprite; weasel; will-o-the-wisp; woodmouse
Edie,25,duck; mouse; seal; badger; marten; stoat; beaver; dragon; giraffe; hedgehog; lantern; mole; weasel
Elin,25,otter; reader; student; archivist; beaver; seal; apprentice; owl; tailor
Engineer,25,mara; faye; imani; saira
Nessa,25,elf; witch; ogre; cat; courier; dragon; duck; heires; otter; pilot; racer; stoat; wizard
Patch,25,bear; dog; robot; cat; goblin; bot; dragon; penguin; serpent; troll
Ranger,25,elowen; mara; ranger; suri; tes
Rory,25,raccoon; panda; hare; rook; badger; bear; chicken; otter; robin; squirrel
Saffron,25,rat; parrot; cat; fairy; fox; giraffe; goat; hare; lynx; planner; rabbit; seal; squirrel; stagehand; swimmer
Ada,24,cat; squirrel; lynx; rabbit; charm; climber; coder; columnist; deer; fisher; hedgehog; mechanic; owl; whisperer
Sol,24,fox; swan; camel; deckhand; duck; firefly; guide; heron; kingfisher; memorie; mole; orb; rabbit; robot; rook; sketcher
Sprig,24,frog; mole; squirrel; goblin; elf; fox; gnome; mouse; rabbit; stoat
Toby,24,bear; maker; tortoise; beaver; turtle; badger; ogre; otter; raccoon; toad
Ash,23,lizard; elf; fox; otter; apprentice; blacksmith; hand; host; jackdaw; original; scout
Biscuit,23,dog; rabbit; bear; cat; donkey; hamster; ferret; otter; pig; stoat
Button,23,badger; bear; chicken; rabbit; raven; bluebird; cat; mouse; owl; raccoon; sheep; wizard
Fizz,23,ferret; fox; sprite; elf; fairy; firefly; fizzy; mouse; newt; robin; robot; salamander; soda-bot; wizard
Sunny,23,spaniel; squirrel; dog; pony; canary; meerkat; sprite
Tilda,23,witch; mouse; biographer; cat; digger; ghost; goat; hedgehog; maker; mayor; rabbit
Birch,22,squirrel; elf; bear; hare; beetle; dog; rabbit; wolf
Cleo,22,cat; camel; magpie; raven; assistant; cloud-painter; codebreaker; fox; guide; rabbit; runner; squirrel
Hugo,22,fixer; penguin; hippo; wizard; guide; hedgehog; husky; rabbit; rival; surveyor
Lumen,22,moth; owl; alien; cat; elf; fairy; firefly; fish; imp; lynx; robot; wizard
Nettle,22,cat; elf; goblin; mouse; newt; otter; squirrel; dragon; goat; lantern; ogre; rabbit; snail; stoat
Pia,22,penguin; apprentice; beaver; ferret; fox; owl; acrobat; linguist; novak; otter; parrot; rabbit; squirrel
Quill,22,wizard; porcupine; android; crow; fox; goblin; goose; hedgehog; pigeon; quokka; rat; runner
Dot,21,ladybird; duck; mouse; ghost; bot; cricket; drone; firefly; pig; pup; robot; swift
Mara,21,witch; cat; goat; magpie; pilot; badger; cleaner; gardener; gull; hare; lock-picker; mapmaker; quill; timing
Rosa,21,thinker; rat; badger; hedgehog; tortoise; cleaner; fox; lizard; mole; venn; weasel; wolf
Sorrel,21,witch; elf; cat; painter; rune; seller; sparrow; squirrel
Tara,21,detective; tinkerer; tortoise; gatherer; locksmith; otter; runner; schoolgirl; tiger
Crumb,20,hamster; marmot; goblin; bot; brownie; chick; chipmunk; elf; monster; snail
Drew,20,hedgehog; diver; polisher
Drift,20,seal; hare; dolphin; goose; mer-pup; otter; pup; sprite; starfish; wizard
Kian,20,fixer; master; physicist; inventor; pilot; sweeper
Tavi,20,engineer; kestrel; apprentice; chemist; drummer; falcon; mechanic; mole; signaler; tiger; tinker; toymaker
Teacher,20,jae; june; lin; may
Thimble,20,rabbit; magpie; cat; badger; hedgehog; mouse; owl
Tilly,20,cat; witch; bear; calf; duck; fox; mouse; pig; sheep; terrier; tortoise; wren
Cinder,19,pony; stoat; mouse; cat; chimpanzee; civet; dragon; fox; raven; swift
Luca,19,fox; raccoon; goat; hedgehog; lynx; badger; havel; lizard
Mae,19,robin; fox; rabbit; agency; cat; deer; guide; keeper; mirror-cleaner; mouse; raven; rescuer
Tess,19,seal; robin; apprentice; armitage; climber; courier; diver; fox; otter; turtle
Comet,18,lurcher; squirrel; hare; unicorn; cat; comet; corgi; firefly; mole
Daisy,18,pony; donkey; duck; alpaca; cat; deer; dolphin; rabbit; seal; sheep
Leo,18,badger; maker; racer; improvising; magician; otter
Mimi,18,mouse; cat; meerkat; rabbit; mole; monkey
Plum,18,rabbit; bear; cat; elf; horse; opossum; pixie; pony; unicorn
Suri,18,engineer; leopard; android; archaeologist; botanist; drummer; elf; guide; scout; squirrel; valez; xenobiologist
Glow,17,cat; firefly; goldfish
Gran Ada,17,ada
Juno,17,detective; hedgehog; deer; jackrabbit; keeper; lynx; messenger; rabbit; schoolgirl; skater
Lyra,17,moth; beekeeper; cat; heat-runner; judge; leopard; marmot; wizard
Mr. Reed,17,reed
Owen,17,builder; gardener; mole; shepherd; surveyor
Zara,17,naturalist; zebra; pilot
